dzien,data,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
28,2026-09-07,Rdz 42,Iz 28,,,Mt 12,,14572,https://biblia.deon.pl/otworz.php?skrot=Rdz%2042 https://biblia.deon.pl/otworz.php?skrot=Iz%2028 https://biblia.deon.pl/otworz.php?skrot=Mt%2012
29,2026-09-08,Rdz 43,Iz 29,Hi 18,Ps 13,,Rz 10,12544,https://biblia.deon.pl/otworz.php?skrot=Rdz%2043 https://biblia.deon.pl/otworz.php?skrot=Iz%2029 https://biblia.deon.pl/otworz.php?skrot=Hi%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%2013 https://biblia.deon.pl/otworz.php?skrot=Rz%2010
30,2026-09-09,Rdz 44-46,,Hi 19,,,,13340,https://biblia.deon.pl/otworz.php?skrot=Rdz%2044 https://biblia.deon.pl/otworz.php?skrot=Rdz%2045 https://biblia.deon.pl/otworz.php?skrot=Rdz%2046 https://biblia.deon.pl/otworz.php?skrot=Hi%2019
31,2026-09-10,Rdz 47,,,Ps 14,Mt 13,,11894,https://biblia.deon.pl/otworz.php?skrot=Rdz%2047 https://biblia.deon.pl/otworz.php?skrot=Ps%2014 https://biblia.deon.pl/otworz.php?skrot=Mt%2013
32,2026-09-11,Rdz 48-49,Iz 30-31,,,,,13316,https://biblia.deon.pl/otworz.php?skrot=Rdz%2048 https://biblia.deon.pl/otworz.php?skrot=Rdz%2049 https://biblia.deon.pl/otworz.php?skrot=Iz%2030 https://biblia.deon.pl/otworz.php?skrot=Iz%2031
33,2026-09-12,Rdz 50; Wj 1,,Hi 20,Ps 15,,Rz 11,12828,https://biblia.deon.pl/otworz.php?skrot=Rdz%2050 https://biblia.deon.pl/otworz.php?skrot=Wj%201 https://biblia.deon.pl/otworz.php?skrot=Hi%2020 https://biblia.deon.pl/otworz.php?skrot=Ps%2015 https://biblia.deon.pl/otworz.php?skrot=Rz%2011
34,2026-09-13,Wj 2,Iz 32-33,Hi 21,,Mt 14,,13758,https://biblia.deon.pl/otworz.php?skrot=Wj%202 https://biblia.deon.pl/otworz.php?skrot=Iz%2032 https://biblia.deon.pl/otworz.php?skrot=Iz%2033 https://biblia.deon.pl/otworz.php?skrot=Hi%2021 https://biblia.deon.pl/otworz.php?skrot=Mt%2014
35,2026-09-14,Wj 3-5,Iz 34,,,,,12326,https://biblia.deon.pl/otworz.php?skrot=Wj%203 https://biblia.deon.pl/otworz.php?skrot=Wj%204 https://biblia.deon.pl/otworz.php?skrot=Wj%205 https://biblia.deon.pl/otworz.php?skrot=Iz%2034
36,2026-09-15,Wj 6-7,,Hi 22,Ps 16,,Rz 12,12051,https://biblia.deon.pl/otworz.php?skrot=Wj%206 https://biblia.deon.pl/otworz.php?skrot=Wj%207 https://biblia.deon.pl/otworz.php?skrot=Hi%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2016 https://biblia.deon.pl/otworz.php?skrot=Rz%2012
37,2026-09-16,Wj 8,Iz 35-36,Hi 23,,Mt 15,,13152,https://biblia.deon.pl/otworz.php?skrot=Wj%208 https://biblia.deon.pl/otworz.php?skrot=Iz%2035 https://biblia.deon.pl/otworz.php?skrot=Iz%2036 https://biblia.deon.pl/otworz.php?skrot=Hi%2023 https://biblia.deon.pl/otworz.php?skrot=Mt%2015
38,2026-09-17,Wj 9,Iz 37,,Ps 17,,Rz 13,12742,https://biblia.deon.pl/otworz.php?skrot=Wj%209 https://biblia.deon.pl/otworz.php?skrot=Iz%2037 https://biblia.deon.pl/otworz.php?skrot=Ps%2017 https://biblia.deon.pl/otworz.php?skrot=Rz%2013
39,2026-09-18,Wj 10-11,Iz 38,Hi 24-26,,Mt 16,,13926,https://biblia.deon.pl/otworz.php?skrot=Wj%2010 https://biblia.deon.pl/otworz.php?skrot=Wj%2011 https://biblia.deon.pl/otworz.php?skrot=Iz%2038 https://biblia.deon.pl/otworz.php?skrot=Hi%2024 https://biblia.deon.pl/otworz.php?skrot=Hi%2025 https://biblia.deon.pl/otworz.php?skrot=Hi%2026 https://biblia.deon.pl/otworz.php?skrot=Mt%2016
40,2026-09-19,Wj 12,,,Ps 18,,Rz 14,13753,https://biblia.deon.pl/otworz.php?skrot=Wj%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2018 https://biblia.deon.pl/otworz.php?skrot=Rz%2014
41,2026-09-20,Wj 13-14,Iz 39,,,Mt 17,,11539,https://biblia.deon.pl/otworz.php?skrot=Wj%2013 https://biblia.deon.pl/otworz.php?skrot=Wj%2014 https://biblia.deon.pl/otworz.php?skrot=Iz%2039 https://biblia.deon.pl/otworz.php?skrot=Mt%2017
42,2026-09-21,Wj 15,Iz 40,Hi 27,Ps 19,,,10533,https://biblia.deon.pl/otworz.php?skrot=Wj%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%2040 https://biblia.deon.pl/otworz.php?skrot=Hi%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%2019
43,2026-09-22,Wj 16,,,,Mt 18,Rz 15,13071,https://biblia.deon.pl/otworz.php?skrot=Wj%2016 https://biblia.deon.pl/otworz.php?skrot=Mt%2018 https://biblia.deon.pl/otworz.php?skrot=Rz%2015
44,2026-09-23,Wj 17-18,Iz 41,Hi 28,,,,11110,https://biblia.deon.pl/otworz.php?skrot=Wj%2017 https://biblia.deon.pl/otworz.php?skrot=Wj%2018 https://biblia.deon.pl/otworz.php?skrot=Iz%2041 https://biblia.deon.pl/otworz.php?skrot=Hi%2028
45,2026-09-24,Wj 19-20,Iz 42,Hi 29,Ps 20,,,11668,https://biblia.deon.pl/otworz.php?skrot=Wj%2019 https://biblia.deon.pl/otworz.php?skrot=Wj%2020 https://biblia.deon.pl/otworz.php?skrot=Iz%2042 https://biblia.deon.pl/otworz.php?skrot=Hi%2029 https://biblia.deon.pl/otworz.php?skrot=Ps%2020
46,2026-09-25,Wj 21,Iz 43,,,Mt 19,,11392,https://biblia.deon.pl/otworz.php?skrot=Wj%2021 https://biblia.deon.pl/otworz.php?skrot=Iz%2043 https://biblia.deon.pl/otworz.php?skrot=Mt%2019
47,2026-09-26,Wj 22,,Hi 30,Ps 21,Mt 20,,10754,https://biblia.deon.pl/otworz.php?skrot=Wj%2022 https://biblia.deon.pl/otworz.php?skrot=Hi%2030 https://biblia.deon.pl/otworz.php?skrot=Ps%2021 https://biblia.deon.pl/otworz.php?skrot=Mt%2020
48,2026-09-27,Wj 23-24,Iz 44,,,,Rz 16,13785,https://biblia.deon.pl/otworz.php?skrot=Wj%2023 https://biblia.deon.pl/otworz.php?skrot=Wj%2024 https://biblia.deon.pl/otworz.php?skrot=Iz%2044 https://biblia.deon.pl/otworz.php?skrot=Rz%2016
49,2026-09-28,Wj 25,,Hi 31,Ps 22,,1 Kor 1,13497,https://biblia.deon.pl/otworz.php?skrot=Wj%2025 https://biblia.deon.pl/otworz.php?skrot=Hi%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%201
50,2026-09-29,Wj 26-27,Iz 45-46,,,,,12659,https://biblia.deon.pl/otworz.php?skrot=Wj%2026 https://biblia.deon.pl/otworz.php?skrot=Wj%2027 https://biblia.deon.pl/otworz.php?skrot=Iz%2045 https://biblia.deon.pl/otworz.php?skrot=Iz%2046
51,2026-09-30,Wj 28,,Hi 32,,Mt 21,,12832,https://biblia.deon.pl/otworz.php?skrot=Wj%2028 https://biblia.deon.pl/otworz.php?skrot=Hi%2032 https://biblia.deon.pl/otworz.php?skrot=Mt%2021
52,2026-10-01,Wj 29-30,,,Ps 23,,1 Kor 2,12996,https://biblia.deon.pl/otworz.php?skrot=Wj%2029 https://biblia.deon.pl/otworz.php?skrot=Wj%2030 https://biblia.deon.pl/otworz.php?skrot=Ps%2023 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%202
53,2026-10-02,Wj 31,Iz 47-49,Hi 33,,,,13159,https://biblia.deon.pl/otworz.php?skrot=Wj%2031 https://biblia.deon.pl/otworz.php?skrot=Iz%2047 https://biblia.deon.pl/otworz.php?skrot=Iz%2048 https://biblia.deon.pl/otworz.php?skrot=Iz%2049 https://biblia.deon.pl/otworz.php?skrot=Hi%2033
54,2026-10-03,Wj 32,,,Ps 24,Mt 22,1 Kor 3,12352,https://biblia.deon.pl/otworz.php?skrot=Wj%2032 https://biblia.deon.pl/otworz.php?skrot=Ps%2024 https://biblia.deon.pl/otworz.php?skrot=Mt%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%203
55,2026-10-04,Wj 33-34,Iz 50-51,,,,,13193,https://biblia.deon.pl/otworz.php?skrot=Wj%2033 https://biblia.deon.pl/otworz.php?skrot=Wj%2034 https://biblia.deon.pl/otworz.php?skrot=Iz%2050 https://biblia.deon.pl/otworz.php?skrot=Iz%2051
56,2026-10-05,Wj 35,,Hi 34-35,Ps 25,,1 Kor 4,12054,https://biblia.deon.pl/otworz.php?skrot=Wj%2035 https://biblia.deon.pl/otworz.php?skrot=Hi%2034 https://biblia.deon.pl/otworz.php?skrot=Hi%2035 https://biblia.deon.pl/otworz.php?skrot=Ps%2025 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%204
57,2026-10-06,Wj 36-37,,,,Mt 23,,12653,https://biblia.deon.pl/otworz.php?skrot=Wj%2036 https://biblia.deon.pl/otworz.php?skrot=Wj%2037 https://biblia.deon.pl/otworz.php?skrot=Mt%2023
58,2026-10-07,Wj 38,Iz 52-54,,Ps 26,,1 Kor 5,12932,https://biblia.deon.pl/otworz.php?skrot=Wj%2038 https://biblia.deon.pl/otworz.php?skrot=Iz%2052 https://biblia.deon.pl/otworz.php?skrot=Iz%2053 https://biblia.deon.pl/otworz.php?skrot=Iz%2054 https://biblia.deon.pl/otworz.php?skrot=Ps%2026 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%205
59,2026-10-08,Wj 39-40; Kpł 1,,Hi 36,,,,12891,https://biblia.deon.pl/otworz.php?skrot=Wj%2039 https://biblia.deon.pl/otworz.php?skrot=Wj%2040 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%201 https://biblia.deon.pl/otworz.php?skrot=Hi%2036
60,2026-10-09,Kpł 2,Iz 55,,,Mt 24,1 Kor 6,11780,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%202 https://biblia.deon.pl/otworz.php?skrot=Iz%2055 https://biblia.deon.pl/otworz.php?skrot=Mt%2024 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%206
61,2026-10-10,Kpł 3-4,Iz 56,Hi 37,Ps 27,,,12313,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%203 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%204 https://biblia.deon.pl/otworz.php?skrot=Iz%2056 https://biblia.deon.pl/otworz.php?skrot=Hi%2037 https://biblia.deon.pl/otworz.php?skrot=Ps%2027
62,2026-10-11,Kpł 5,Iz 57-58,Hi 38,,,,13019,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%205 https://biblia.deon.pl/otworz.php?skrot=Iz%2057 https://biblia.deon.pl/otworz.php?skrot=Iz%2058 https://biblia.deon.pl/otworz.php?skrot=Hi%2038
63,2026-10-12,Kpł 6-7,,,,,1 Kor 7,13396,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%206 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%207 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%207
64,2026-10-13,Kpł 8,,Hi 39,Ps 28,Mt 25,,12702,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%208 https://biblia.deon.pl/otworz.php?skrot=Hi%2039 https://biblia.deon.pl/otworz.php?skrot=Ps%2028 https://biblia.deon.pl/otworz.php?skrot=Mt%2025
65,2026-10-14,Kpł 9-10,Iz 59,Hi 40,Ps 29,,1 Kor 8,13896,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%209 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2010 https://biblia.deon.pl/otworz.php?skrot=Iz%2059 https://biblia.deon.pl/otworz.php?skrot=Hi%2040 https://biblia.deon.pl/otworz.php?skrot=Ps%2029 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%208
66,2026-10-15,Kpł 11-12,Iz 60-62,,,,,13685,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2011 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2012 https://biblia.deon.pl/otworz.php?skrot=Iz%2060 https://biblia.deon.pl/otworz.php?skrot=Iz%2061 https://biblia.deon.pl/otworz.php?skrot=Iz%2062
67,2026-10-16,Kpł 13,,,,Mt 26,,16829,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2013 https://biblia.deon.pl/otworz.php?skrot=Mt%2026
68,2026-10-17,Kpł 14,,,Ps 30,,1 Kor 9,12031,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%2030 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%209
69,2026-10-18,Kpł 15,Iz 63,Hi 41,Ps 31,,,11875,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%2063 https://biblia.deon.pl/otworz.php?skrot=Hi%2041 https://biblia.deon.pl/otworz.php?skrot=Ps%2031
70,2026-10-19,Kpł 16-17,Iz 64-65,,,,,12859,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2016 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2017 https://biblia.deon.pl/otworz.php?skrot=Iz%2064 https://biblia.deon.pl/otworz.php?skrot=Iz%2065
71,2026-10-20,Kpł 18,Iz 66,Hi 42,,,1 Kor 10,13131,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2018 https://biblia.deon.pl/otworz.php?skrot=Iz%2066 https://biblia.deon.pl/otworz.php?skrot=Hi%2042 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2010
72,2026-10-21,Kpł 19,,,Ps 32,Mt 27,,12436,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2032 https://biblia.deon.pl/otworz.php?skrot=Mt%2027
73,2026-10-22,Kpł 20-21,Jr 1,Prz 1,Ps 33,,,13487,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2020 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%201 https://biblia.deon.pl/otworz.php?skrot=Prz%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2033
74,2026-10-23,Kpł 22-23,,,,,1 Kor 11,14212,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2022 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2023 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2011
75,2026-10-24,Kpł 24,Jr 2,Prz 2,,Mt 28,,11552,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2024 https://biblia.deon.pl/otworz.php?skrot=Jr%202 https://biblia.deon.pl/otworz.php?skrot=Prz%202 https://biblia.deon.pl/otworz.php?skrot=Mt%2028
76,2026-10-25,Kpł 25,,Prz 3,Ps 34,,,11616,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2025 https://biblia.deon.pl/otworz.php?skrot=Prz%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2034
77,2026-10-26,Kpł 26,Jr 3,,,Mk 1,,14774,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2026 https://biblia.deon.pl/otworz.php?skrot=Jr%203 https://biblia.deon.pl/otworz.php?skrot=Mk%201
78,2026-10-27,Kpł 27; Lb 1,,Prz 4,,,1 Kor 12,15281,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2027 https://biblia.deon.pl/otworz.php?skrot=Lb%201 https://biblia.deon.pl/otworz.php?skrot=Prz%204 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2012
79,2026-10-28,Lb 2,Jr 4-5,,Ps 35,,,14739,https://biblia.deon.pl/otworz.php?skrot=Lb%202 https://biblia.deon.pl/otworz.php?skrot=Jr%204 https://biblia.deon.pl/otworz.php?skrot=Jr%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2035
80,2026-10-29,Lb 3,,Prz 5,Ps 36,Mk 2,1 Kor 13,13277,https://biblia.deon.pl/otworz.php?skrot=Lb%203 https://biblia.deon.pl/otworz.php?skrot=Prz%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2036 https://biblia.deon.pl/otworz.php?skrot=Mk%202 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2013
81,2026-10-30,Lb 4-5,Jr 6,,,,,14361,https://biblia.deon.pl/otworz.php?skrot=Lb%204 https://biblia.deon.pl/otworz.php?skrot=Lb%205 https://biblia.deon.pl/otworz.php?skrot=Jr%206
82,2026-10-31,Lb 6,,Prz 6,,Mk 3,1 Kor 14,14242,https://biblia.deon.pl/otworz.php?skrot=Lb%206 https://biblia.deon.pl/otworz.php?skrot=Prz%206 https://biblia.deon.pl/otworz.php?skrot=Mk%203 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2014
83,2026-11-01,Lb 7-8,,,,,,12843,https://biblia.deon.pl/otworz.php?skrot=Lb%207 https://biblia.deon.pl/otworz.php?skrot=Lb%208
84,2026-11-02,Lb 9,,Prz 7,Ps 37,Mk 4,,12666,https://biblia.deon.pl/otworz.php?skrot=Lb%209 https://biblia.deon.pl/otworz.php?skrot=Prz%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2037 https://biblia.deon.pl/otworz.php?skrot=Mk%204
85,2026-11-03,Lb 10,Jr 7-8,Prz 8,,,,14448,https://biblia.deon.pl/otworz.php?skrot=Lb%2010 https://biblia.deon.pl/otworz.php?skrot=Jr%207 https://biblia.deon.pl/otworz.php?skrot=Jr%208 https://biblia.deon.pl/otworz.php?skrot=Prz%208
86,2026-11-04,Lb 11-12,Jr 9,,Ps 38,,,11941,https://biblia.deon.pl/otworz.php?skrot=Lb%2011 https://biblia.deon.pl/otworz.php?skrot=Lb%2012 https://biblia.deon.pl/otworz.php?skrot=Jr%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2038
87,2026-11-05,Lb 13,,,,Mk 5,1 Kor 15,13671,https://biblia.deon.pl/otworz.php?skrot=Lb%2013 https://biblia.deon.pl/otworz.php?skrot=Mk%205 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2015
88,2026-11-06,Lb 14,Jr 10,Prz 9,Ps 39,,,11588,https://biblia.deon.pl/otworz.php?skrot=Lb%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%2010 https://biblia.deon.pl/otworz.php?skrot=Prz%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2039
