dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
11,Rdz 27,Iz 11-12,,Ps 7,Mt 7,Rz 5,16479,https://biblia.deon.pl/otworz.php?skrot=Rdz%2027 https://biblia.deon.pl/otworz.php?skrot=Iz%2011 https://biblia.deon.pl/otworz.php?skrot=Iz%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%207 https://biblia.deon.pl/otworz.php?skrot=Mt%207 https://biblia.deon.pl/otworz.php?skrot=Rz%205
12,Rdz 28-29,Iz 13,Hi 9,Ps 8,Mt 8,,15869,https://biblia.deon.pl/otworz.php?skrot=Rdz%2028 https://biblia.deon.pl/otworz.php?skrot=Rdz%2029 https://biblia.deon.pl/otworz.php?skrot=Iz%2013 https://biblia.deon.pl/otworz.php?skrot=Hi%209 https://biblia.deon.pl/otworz.php?skrot=Ps%208 https://biblia.deon.pl/otworz.php?skrot=Mt%208
13,Rdz 30,Iz 14,Hi 10-12,,,Rz 6,16766,https://biblia.deon.pl/otworz.php?skrot=Rdz%2030 https://biblia.deon.pl/otworz.php?skrot=Iz%2014 https://biblia.deon.pl/otworz.php?skrot=Hi%2010 https://biblia.deon.pl/otworz.php?skrot=Hi%2011 https://biblia.deon.pl/otworz.php?skrot=Hi%2012 https://biblia.deon.pl/otworz.php?skrot=Rz%206
14,Rdz 31-32,Iz 15,,,Mt 9,,16103,https://biblia.deon.pl/otworz.php?skrot=Rdz%2031 https://biblia.deon.pl/otworz.php?skrot=Rdz%2032 https://biblia.deon.pl/otworz.php?skrot=Iz%2015 https://biblia.deon.pl/otworz.php?skrot=Mt%209
15,Rdz 33-35,Iz 16,,,,Rz 7,14706,https://biblia.deon.pl/otworz.php?skrot=Rdz%2033 https://biblia.deon.pl/otworz.php?skrot=Rdz%2034 https://biblia.deon.pl/otworz.php?skrot=Rdz%2035 https://biblia.deon.pl/otworz.php?skrot=Iz%2016 https://biblia.deon.pl/otworz.php?skrot=Rz%207
16,Rdz 36,Iz 17,Hi 13-14,Ps 9,Mt 10,,15347,https://biblia.deon.pl/otworz.php?skrot=Rdz%2036 https://biblia.deon.pl/otworz.php?skrot=Iz%2017 https://biblia.deon.pl/otworz.php?skrot=Hi%2013 https://biblia.deon.pl/otworz.php?skrot=Hi%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%209 https://biblia.deon.pl/otworz.php?skrot=Mt%2010
17,Rdz 37-39,Iz 18,,Ps 10,,,14050,https://biblia.deon.pl/otworz.php?skrot=Rdz%2037 https://biblia.deon.pl/otworz.php?skrot=Rdz%2038 https://biblia.deon.pl/otworz.php?skrot=Rdz%2039 https://biblia.deon.pl/otworz.php?skrot=Iz%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%2010
18,Rdz 40,Iz 19,,,Mt 11,Rz 8,14168,https://biblia.deon.pl/otworz.php?skrot=Rdz%2040 https://biblia.deon.pl/otworz.php?skrot=Iz%2019 https://biblia.deon.pl/otworz.php?skrot=Mt%2011 https://biblia.deon.pl/otworz.php?skrot=Rz%208
19,Rdz 41,Iz 20-21,Hi 15-16,Ps 11,,,14205,https://biblia.deon.pl/otworz.php?skrot=Rdz%2041 https://biblia.deon.pl/otworz.php?skrot=Iz%2020 https://biblia.deon.pl/otworz.php?skrot=Iz%2021 https://biblia.deon.pl/otworz.php?skrot=Hi%2015 https://biblia.deon.pl/otworz.php?skrot=Hi%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2011
20,Rdz 42,Iz 22,,Ps 12,Mt 12,,14320,https://biblia.deon.pl/otworz.php?skrot=Rdz%2042 https://biblia.deon.pl/otworz.php?skrot=Iz%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2012 https://biblia.deon.pl/otworz.php?skrot=Mt%2012
21,Rdz 43,Iz 23,Hi 17-19,,,Rz 9,15247,https://biblia.deon.pl/otworz.php?skrot=Rdz%2043 https://biblia.deon.pl/otworz.php?skrot=Iz%2023 https://biblia.deon.pl/otworz.php?skrot=Hi%2017 https://biblia.deon.pl/otworz.php?skrot=Hi%2018 https://biblia.deon.pl/otworz.php?skrot=Hi%2019 https://biblia.deon.pl/otworz.php?skrot=Rz%209
22,Rdz 44-46,Iz 24,,Ps 13,,,14505,https://biblia.deon.pl/otworz.php?skrot=Rdz%2044 https://biblia.deon.pl/otworz.php?skrot=Rdz%2045 https://biblia.deon.pl/otworz.php?skrot=Rdz%2046 https://biblia.deon.pl/otworz.php?skrot=Iz%2024 https://biblia.deon.pl/otworz.php?skrot=Ps%2013
23,Rdz 47,Iz 25,,Ps 14,Mt 13,Rz 10,15982,https://biblia.deon.pl/otworz.php?skrot=Rdz%2047 https://biblia.deon.pl/otworz.php?skrot=Iz%2025 https://biblia.deon.pl/otworz.php?skrot=Ps%2014 https://biblia.deon.pl/otworz.php?skrot=Mt%2013 https://biblia.deon.pl/otworz.php?skrot=Rz%2010
24,Rdz 48-50; Wj 1,Iz 26,Hi 20,,,,17297,https://biblia.deon.pl/otworz.php?skrot=Rdz%2048 https://biblia.deon.pl/otworz.php?skrot=Rdz%2049 https://biblia.deon.pl/otworz.php?skrot=Rdz%2050 https://biblia.deon.pl/otworz.php?skrot=Wj%201 https://biblia.deon.pl/otworz.php?skrot=Iz%2026 https://biblia.deon.pl/otworz.php?skrot=Hi%2020
25,Wj 2-4,Iz 27,,Ps 15,,Rz 11,17036,https://biblia.deon.pl/otworz.php?skrot=Wj%202 https://biblia.deon.pl/otworz.php?skrot=Wj%203 https://biblia.deon.pl/otworz.php?skrot=Wj%204 https://biblia.deon.pl/otworz.php?skrot=Iz%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%2015 https://biblia.deon.pl/otworz.php?skrot=Rz%2011
26,Wj 5-7,Iz 28,,,Mt 14,,16946,https://biblia.deon.pl/otworz.php?skrot=Wj%205 https://biblia.deon.pl/otworz.php?skrot=Wj%206 https://biblia.deon.pl/otworz.php?skrot=Wj%207 https://biblia.deon.pl/otworz.php?skrot=Iz%2028 https://biblia.deon.pl/otworz.php?skrot=Mt%2014
27,Wj 8-9,Iz 29,Hi 21,Ps 16,,Rz 12,16720,https://biblia.deon.pl/otworz.php?skrot=Wj%208 https://biblia.deon.pl/otworz.php?skrot=Wj%209 https://biblia.deon.pl/otworz.php?skrot=Iz%2029 https://biblia.deon.pl/otworz.php?skrot=Hi%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%2016 https://biblia.deon.pl/otworz.php?skrot=Rz%2012
28,Wj 10-11,Iz 30,Hi 22-24,,Mt 15,,18606,https://biblia.deon.pl/otworz.php?skrot=Wj%2010 https://biblia.deon.pl/otworz.php?skrot=Wj%2011 https://biblia.deon.pl/otworz.php?skrot=Iz%2030 https://biblia.deon.pl/otworz.php?skrot=Hi%2022 https://biblia.deon.pl/otworz.php?skrot=Hi%2023 https://biblia.deon.pl/otworz.php?skrot=Hi%2024 https://biblia.deon.pl/otworz.php?skrot=Mt%2015
29,Wj 12-13,Iz 31,,Ps 17,Mt 16,Rz 13,17741,https://biblia.deon.pl/otworz.php?skrot=Wj%2012 https://biblia.deon.pl/otworz.php?skrot=Wj%2013 https://biblia.deon.pl/otworz.php?skrot=Iz%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2017 https://biblia.deon.pl/otworz.php?skrot=Mt%2016 https://biblia.deon.pl/otworz.php?skrot=Rz%2013
30,Wj 14-15,Iz 32,Hi 25,Ps 18,,Rz 14,16893,https://biblia.deon.pl/otworz.php?skrot=Wj%2014 https://biblia.deon.pl/otworz.php?skrot=Wj%2015 https://biblia.deon.pl/otworz.php?skrot=Iz%2032 https://biblia.deon.pl/otworz.php?skrot=Hi%2025 https://biblia.deon.pl/otworz.php?skrot=Ps%2018 https://biblia.deon.pl/otworz.php?skrot=Rz%2014
31,Wj 16-17,Iz 33,Hi 26-27,Ps 19,Mt 17,,17281,https://biblia.deon.pl/otworz.php?skrot=Wj%2016 https://biblia.deon.pl/otworz.php?skrot=Wj%2017 https://biblia.deon.pl/otworz.php?skrot=Iz%2033 https://biblia.deon.pl/otworz.php?skrot=Hi%2026 https://biblia.deon.pl/otworz.php?skrot=Hi%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%2019 https://biblia.deon.pl/otworz.php?skrot=Mt%2017
32,Wj 18-21,Iz 34,Hi 28,,,,18105,https://biblia.deon.pl/otworz.php?skrot=Wj%2018 https://biblia.deon.pl/otworz.php?skrot=Wj%2019 https://biblia.deon.pl/otworz.php?skrot=Wj%2020 https://biblia.deon.pl/otworz.php?skrot=Wj%2021 https://biblia.deon.pl/otworz.php?skrot=Iz%2034 https://biblia.deon.pl/otworz.php?skrot=Hi%2028
33,Wj 22-23,Iz 35,,,Mt 18,Rz 15,17542,https://biblia.deon.pl/otworz.php?skrot=Wj%2022 https://biblia.deon.pl/otworz.php?skrot=Wj%2023 https://biblia.deon.pl/otworz.php?skrot=Iz%2035 https://biblia.deon.pl/otworz.php?skrot=Mt%2018 https://biblia.deon.pl/otworz.php?skrot=Rz%2015
34,Wj 24-26,Iz 36,,Ps 20,,,15183,https://biblia.deon.pl/otworz.php?skrot=Wj%2024 https://biblia.deon.pl/otworz.php?skrot=Wj%2025 https://biblia.deon.pl/otworz.php?skrot=Wj%2026 https://biblia.deon.pl/otworz.php?skrot=Iz%2036 https://biblia.deon.pl/otworz.php?skrot=Ps%2020
35,Wj 27,Iz 37,,,Mt 19,Rz 16,14711,https://biblia.deon.pl/otworz.php?skrot=Wj%2027 https://biblia.deon.pl/otworz.php?skrot=Iz%2037 https://biblia.deon.pl/otworz.php?skrot=Mt%2019 https://biblia.deon.pl/otworz.php?skrot=Rz%2016
36,Wj 28,Iz 38,Hi 29-30,,Mt 20,,15754,https://biblia.deon.pl/otworz.php?skrot=Wj%2028 https://biblia.deon.pl/otworz.php?skrot=Iz%2038 https://biblia.deon.pl/otworz.php?skrot=Hi%2029 https://biblia.deon.pl/otworz.php?skrot=Hi%2030 https://biblia.deon.pl/otworz.php?skrot=Mt%2020
37,Wj 29,Iz 39,Hi 31,Ps 21,,1 Kor 1,14861,https://biblia.deon.pl/otworz.php?skrot=Wj%2029 https://biblia.deon.pl/otworz.php?skrot=Iz%2039 https://biblia.deon.pl/otworz.php?skrot=Hi%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2021 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%201
38,Wj 30,Iz 40,,Ps 22,Mt 21,,16423,https://biblia.deon.pl/otworz.php?skrot=Wj%2030 https://biblia.deon.pl/otworz.php?skrot=Iz%2040 https://biblia.deon.pl/otworz.php?skrot=Ps%2022 https://biblia.deon.pl/otworz.php?skrot=Mt%2021
39,Wj 31-32,Iz 41,,Ps 23,,1 Kor 2-3,15358,https://biblia.deon.pl/otworz.php?skrot=Wj%2031 https://biblia.deon.pl/otworz.php?skrot=Wj%2032 https://biblia.deon.pl/otworz.php?skrot=Iz%2041 https://biblia.deon.pl/otworz.php?skrot=Ps%2023 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%202 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%203
40,Wj 33,Iz 42,Hi 32-33,Ps 24,Mt 22,,15278,https://biblia.deon.pl/otworz.php?skrot=Wj%2033 https://biblia.deon.pl/otworz.php?skrot=Iz%2042 https://biblia.deon.pl/otworz.php?skrot=Hi%2032 https://biblia.deon.pl/otworz.php?skrot=Hi%2033 https://biblia.deon.pl/otworz.php?skrot=Ps%2024 https://biblia.deon.pl/otworz.php?skrot=Mt%2022
41,Wj 34-35,Iz 43,Hi 34,,,1 Kor 4,17342,https://biblia.deon.pl/otworz.php?skrot=Wj%2034 https://biblia.deon.pl/otworz.php?skrot=Wj%2035 https://biblia.deon.pl/otworz.php?skrot=Iz%2043 https://biblia.deon.pl/otworz.php?skrot=Hi%2034 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%204
42,Wj 36-37,Iz 44,Hi 35,Ps 25,,1 Kor 5,17193,https://biblia.deon.pl/otworz.php?skrot=Wj%2036 https://biblia.deon.pl/otworz.php?skrot=Wj%2037 https://biblia.deon.pl/otworz.php?skrot=Iz%2044 https://biblia.deon.pl/otworz.php?skrot=Hi%2035 https://biblia.deon.pl/otworz.php?skrot=Ps%2025 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%205
43,Wj 38-39,Iz 45,,,Mt 23,,17069,https://biblia.deon.pl/otworz.php?skrot=Wj%2038 https://biblia.deon.pl/otworz.php?skrot=Wj%2039 https://biblia.deon.pl/otworz.php?skrot=Iz%2045 https://biblia.deon.pl/otworz.php?skrot=Mt%2023
44,Wj 40; Kpł 1-3,Iz 46,Hi 36,Ps 26,,,14957,https://biblia.deon.pl/otworz.php?skrot=Wj%2040 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%201 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%202 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%203 https://biblia.deon.pl/otworz.php?skrot=Iz%2046 https://biblia.deon.pl/otworz.php?skrot=Hi%2036 https://biblia.deon.pl/otworz.php?skrot=Ps%2026
45,Kpł 4,Iz 47,Hi 37,,Mt 24,1 Kor 6,16440,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%204 https://biblia.deon.pl/otworz.php?skrot=Iz%2047 https://biblia.deon.pl/otworz.php?skrot=Hi%2037 https://biblia.deon.pl/otworz.php?skrot=Mt%2024 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%206
46,Kpł 5-7,Iz 48,,Ps 27,,,17637,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%205 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%206 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%207 https://biblia.deon.pl/otworz.php?skrot=Iz%2048 https://biblia.deon.pl/otworz.php?skrot=Ps%2027
47,Kpł 8,Iz 49,,Ps 28,,1 Kor 7,14777,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%208 https://biblia.deon.pl/otworz.php?skrot=Iz%2049 https://biblia.deon.pl/otworz.php?skrot=Ps%2028 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%207
48,Kpł 9-10,Iz 50,Hi 38,Ps 29,Mt 25,,16466,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%209 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2010 https://biblia.deon.pl/otworz.php?skrot=Iz%2050 https://biblia.deon.pl/otworz.php?skrot=Hi%2038 https://biblia.deon.pl/otworz.php?skrot=Ps%2029 https://biblia.deon.pl/otworz.php?skrot=Mt%2025
49,Kpł 11-12,Iz 51,Hi 39-40,,,1 Kor 8,16556,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2011 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2012 https://biblia.deon.pl/otworz.php?skrot=Iz%2051 https://biblia.deon.pl/otworz.php?skrot=Hi%2039 https://biblia.deon.pl/otworz.php?skrot=Hi%2040 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%208
50,Kpł 13,Iz 52,,Ps 30,,1 Kor 9,15463,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2013 https://biblia.deon.pl/otworz.php?skrot=Iz%2052 https://biblia.deon.pl/otworz.php?skrot=Ps%2030 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%209
51,Kpł 14,Iz 53,,,Mt 26,,17309,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2014 https://biblia.deon.pl/otworz.php?skrot=Iz%2053 https://biblia.deon.pl/otworz.php?skrot=Mt%2026
52,Kpł 15-16,Iz 54,Hi 41-42,Ps 31,,,18558,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2015 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2016 https://biblia.deon.pl/otworz.php?skrot=Iz%2054 https://biblia.deon.pl/otworz.php?skrot=Hi%2041 https://biblia.deon.pl/otworz.php?skrot=Hi%2042 https://biblia.deon.pl/otworz.php?skrot=Ps%2031
53,Kpł 17-20,Iz 55,,,,,16884,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2017 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2018 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2019 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2020 https://biblia.deon.pl/otworz.php?skrot=Iz%2055
54,Kpł 21,Iz 56,,Ps 32,Mt 27,1 Kor 10,16097,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2021 https://biblia.deon.pl/otworz.php?skrot=Iz%2056 https://biblia.deon.pl/otworz.php?skrot=Ps%2032 https://biblia.deon.pl/otworz.php?skrot=Mt%2027 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2010
55,Kpł 22-23,Iz 57,Prz 1,,,,15828,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2022 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2023 https://biblia.deon.pl/otworz.php?skrot=Iz%2057 https://biblia.deon.pl/otworz.php?skrot=Prz%201
56,Kpł 24,Iz 58,Prz 2-3,Ps 33,Mt 28,1 Kor 11,16370,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2024 https://biblia.deon.pl/otworz.php?skrot=Iz%2058 https://biblia.deon.pl/otworz.php?skrot=Prz%202 https://biblia.deon.pl/otworz.php?skrot=Prz%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2033 https://biblia.deon.pl/otworz.php?skrot=Mt%2028 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2011
57,Kpł 25-26,Iz 59,,,,,16614,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2025 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2026 https://biblia.deon.pl/otworz.php?skrot=Iz%2059
58,Kpł 27,Iz 60,,Ps 34,Mk 1,1 Kor 12,17609,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2027 https://biblia.deon.pl/otworz.php?skrot=Iz%2060 https://biblia.deon.pl/otworz.php?skrot=Ps%2034 https://biblia.deon.pl/otworz.php?skrot=Mk%201 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2012
59,Lb 1-2,Iz 61,Prz 4,Ps 35,,,14891,https://biblia.deon.pl/otworz.php?skrot=Lb%201 https://biblia.deon.pl/otworz.php?skrot=Lb%202 https://biblia.deon.pl/otworz.php?skrot=Iz%2061 https://biblia.deon.pl/otworz.php?skrot=Prz%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2035
60,Lb 3,Iz 62,Prz 5,Ps 36,Mk 2,1 Kor 13,15069,https://biblia.deon.pl/otworz.php?skrot=Lb%203 https://biblia.deon.pl/otworz.php?skrot=Iz%2062 https://biblia.deon.pl/otworz.php?skrot=Prz%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2036 https://biblia.deon.pl/otworz.php?skrot=Mk%202 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2013
61,Lb 4-5,Iz 63,,,Mk 3,,16588,https://biblia.deon.pl/otworz.php?skrot=Lb%204 https://biblia.deon.pl/otworz.php?skrot=Lb%205 https://biblia.deon.pl/otworz.php?skrot=Iz%2063 https://biblia.deon.pl/otworz.php?skrot=Mk%203
62,Lb 6,Iz 64,Prz 6-7,Ps 37,,1 Kor 14,17344,https://biblia.deon.pl/otworz.php?skrot=Lb%206 https://biblia.deon.pl/otworz.php?skrot=Iz%2064 https://biblia.deon.pl/otworz.php?skrot=Prz%206 https://biblia.deon.pl/otworz.php?skrot=Prz%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2037 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2014
63,Lb 7,Iz 65,,Ps 38,Mk 4,,19410,https://biblia.deon.pl/otworz.php?skrot=Lb%207 https://biblia.deon.pl/otworz.php?skrot=Iz%2065 https://biblia.deon.pl/otworz.php?skrot=Ps%2038 https://biblia.deon.pl/otworz.php?skrot=Mk%204
64,Lb 8-10,Iz 66,Prz 8-9,,,,18262,https://biblia.deon.pl/otworz.php?skrot=Lb%208 https://biblia.deon.pl/otworz.php?skrot=Lb%209 https://biblia.deon.pl/otworz.php?skrot=Lb%2010 https://biblia.deon.pl/otworz.php?skrot=Iz%2066 https://biblia.deon.pl/otworz.php?skrot=Prz%208 https://biblia.deon.pl/otworz.php?skrot=Prz%209
65,Lb 11-14,Jr 1,,Ps 39,,,19437,https://biblia.deon.pl/otworz.php?skrot=Lb%2011 https://biblia.deon.pl/otworz.php?skrot=Lb%2012 https://biblia.deon.pl/otworz.php?skrot=Lb%2013 https://biblia.deon.pl/otworz.php?skrot=Lb%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2039
66,Lb 15,Jr 2,,,Mk 5,1 Kor 15,20616,https://biblia.deon.pl/otworz.php?skrot=Lb%2015 https://biblia.deon.pl/otworz.php?skrot=Jr%202 https://biblia.deon.pl/otworz.php?skrot=Mk%205 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2015
67,Lb 16-18,Jr 3,Prz 10,,,,19220,https://biblia.deon.pl/otworz.php?skrot=Lb%2016 https://biblia.deon.pl/otworz.php?skrot=Lb%2017 https://biblia.deon.pl/otworz.php?skrot=Lb%2018 https://biblia.deon.pl/otworz.php?skrot=Jr%203 https://biblia.deon.pl/otworz.php?skrot=Prz%2010
68,Lb 19,Jr 4,Prz 11,Ps 40,Mk 6,,18012,https://biblia.deon.pl/otworz.php?skrot=Lb%2019 https://biblia.deon.pl/otworz.php?skrot=Jr%204 https://biblia.deon.pl/otworz.php?skrot=Prz%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%2040 https://biblia.deon.pl/otworz.php?skrot=Mk%206
69,Lb 20-22,Jr 5,,,,,17982,https://biblia.deon.pl/otworz.php?skrot=Lb%2020 https://biblia.deon.pl/otworz.php?skrot=Lb%2021 https://biblia.deon.pl/otworz.php?skrot=Lb%2022 https://biblia.deon.pl/otworz.php?skrot=Jr%205
70,Lb 23,Jr 6,,Ps 41,Mk 7,1 Kor 16,15092,https://biblia.deon.pl/otworz.php?skrot=Lb%2023 https://biblia.deon.pl/otworz.php?skrot=Jr%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2041 https://biblia.deon.pl/otworz.php?skrot=Mk%207 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2016
71,Lb 24,Jr 7,Prz 12-13,Ps 42,,2 Kor 1,16074,https://biblia.deon.pl/otworz.php?skrot=Lb%2024 https://biblia.deon.pl/otworz.php?skrot=Jr%207 https://biblia.deon.pl/otworz.php?skrot=Prz%2012 https://biblia.deon.pl/otworz.php?skrot=Prz%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%2042 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%201
72,Lb 25-26,Jr 8,,Ps 43,Mk 8,,16660,https://biblia.deon.pl/otworz.php?skrot=Lb%2025 https://biblia.deon.pl/otworz.php?skrot=Lb%2026 https://biblia.deon.pl/otworz.php?skrot=Jr%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2043 https://biblia.deon.pl/otworz.php?skrot=Mk%208
