dzien,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
11,Rdz 38-40,Iz 23-25,Hi 13,Ps 11,Mt 11,Rz 8,26953,https://biblia.deon.pl/otworz.php?skrot=Rdz%2038 https://biblia.deon.pl/otworz.php?skrot=Rdz%2039 https://biblia.deon.pl/otworz.php?skrot=Rdz%2040 https://biblia.deon.pl/otworz.php?skrot=Iz%2023 https://biblia.deon.pl/otworz.php?skrot=Iz%2024 https://biblia.deon.pl/otworz.php?skrot=Iz%2025 https://biblia.deon.pl/otworz.php?skrot=Hi%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%2011 https://biblia.deon.pl/otworz.php?skrot=Mt%2011 https://biblia.deon.pl/otworz.php?skrot=Rz%208
12,Rdz 41-42,Iz 26-27,Hi 14,Ps 12,Mt 12,Rz 9,27660,https://biblia.deon.pl/otworz.php?skrot=Rdz%2041 https://biblia.deon.pl/otworz.php?skrot=Rdz%2042 https://biblia.deon.pl/otworz.php?skrot=Iz%2026 https://biblia.deon.pl/otworz.php?skrot=Iz%2027 https://biblia.deon.pl/otworz.php?skrot=Hi%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%2012 https://biblia.deon.pl/otworz.php?skrot=Mt%2012 https://biblia.deon.pl/otworz.php?skrot=Rz%209
13,Rdz 43-46,Iz 28-29,Hi 15-16,Ps 13,,,27964,https://biblia.deon.pl/otworz.php?skrot=Rdz%2043 https://biblia.deon.pl/otworz.php?skrot=Rdz%2044 https://biblia.deon.pl/otworz.php?skrot=Rdz%2045 https://biblia.deon.pl/otworz.php?skrot=Rdz%2046 https://biblia.deon.pl/otworz.php?skrot=Iz%2028 https://biblia.deon.pl/otworz.php?skrot=Iz%2029 https://biblia.deon.pl/otworz.php?skrot=Hi%2015 https://biblia.deon.pl/otworz.php?skrot=Hi%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2013
14,Rdz 47-49,Iz 30,Hi 17,Ps 14,Mt 13,Rz 10,27400,https://biblia.deon.pl/otworz.php?skrot=Rdz%2047 https://biblia.deon.pl/otworz.php?skrot=Rdz%2048 https://biblia.deon.pl/otworz.php?skrot=Rdz%2049 https://biblia.deon.pl/otworz.php?skrot=Iz%2030 https://biblia.deon.pl/otworz.php?skrot=Hi%2017 https://biblia.deon.pl/otworz.php?skrot=Ps%2014 https://biblia.deon.pl/otworz.php?skrot=Mt%2013 https://biblia.deon.pl/otworz.php?skrot=Rz%2010
15,Rdz 50; Wj 1-3,Iz 31-32,Hi 18-19,Ps 15,Mt 14,Rz 11,27498,https://biblia.deon.pl/otworz.php?skrot=Rdz%2050 https://biblia.deon.pl/otworz.php?skrot=Wj%201 https://biblia.deon.pl/otworz.php?skrot=Wj%202 https://biblia.deon.pl/otworz.php?skrot=Wj%203 https://biblia.deon.pl/otworz.php?skrot=Iz%2031 https://biblia.deon.pl/otworz.php?skrot=Iz%2032 https://biblia.deon.pl/otworz.php?skrot=Hi%2018 https://biblia.deon.pl/otworz.php?skrot=Hi%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%2015 https://biblia.deon.pl/otworz.php?skrot=Mt%2014 https://biblia.deon.pl/otworz.php?skrot=Rz%2011
16,Wj 4-6,Iz 33-34,Hi 20,Ps 16,Mt 15-16,Rz 12,27736,https://biblia.deon.pl/otworz.php?skrot=Wj%204 https://biblia.deon.pl/otworz.php?skrot=Wj%205 https://biblia.deon.pl/otworz.php?skrot=Wj%206 https://biblia.deon.pl/otworz.php?skrot=Iz%2033 https://biblia.deon.pl/otworz.php?skrot=Iz%2034 https://biblia.deon.pl/otworz.php?skrot=Hi%2020 https://biblia.deon.pl/otworz.php?skrot=Ps%2016 https://biblia.deon.pl/otworz.php?skrot=Mt%2015 https://biblia.deon.pl/otworz.php?skrot=Mt%2016 https://biblia.deon.pl/otworz.php?skrot=Rz%2012
17,Wj 7-10,Iz 35-36,Hi 21-22,Ps 17,Mt 17,,28429,https://biblia.deon.pl/otworz.php?skrot=Wj%207 https://biblia.deon.pl/otworz.php?skrot=Wj%208 https://biblia.deon.pl/otworz.php?skrot=Wj%209 https://biblia.deon.pl/otworz.php?skrot=Wj%2010 https://biblia.deon.pl/otworz.php?skrot=Iz%2035 https://biblia.deon.pl/otworz.php?skrot=Iz%2036 https://biblia.deon.pl/otworz.php?skrot=Hi%2021 https://biblia.deon.pl/otworz.php?skrot=Hi%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%2017 https://biblia.deon.pl/otworz.php?skrot=Mt%2017
18,Wj 11-14,Iz 37,Hi 23-24,Ps 18,,Rz 13,29056,https://biblia.deon.pl/otworz.php?skrot=Wj%2011 https://biblia.deon.pl/otworz.php?skrot=Wj%2012 https://biblia.deon.pl/otworz.php?skrot=Wj%2013 https://biblia.deon.pl/otworz.php?skrot=Wj%2014 https://biblia.deon.pl/otworz.php?skrot=Iz%2037 https://biblia.deon.pl/otworz.php?skrot=Hi%2023 https://biblia.deon.pl/otworz.php?skrot=Hi%2024 https://biblia.deon.pl/otworz.php?skrot=Ps%2018 https://biblia.deon.pl/otworz.php?skrot=Rz%2013
19,Wj 15-17,Iz 38,Hi 25-27,Ps 19,Mt 18,Rz 14-15,28736,https://biblia.deon.pl/otworz.php?skrot=Wj%2015 https://biblia.deon.pl/otworz.php?skrot=Wj%2016 https://biblia.deon.pl/otworz.php?skrot=Wj%2017 https://biblia.deon.pl/otworz.php?skrot=Iz%2038 https://biblia.deon.pl/otworz.php?skrot=Hi%2025 https://biblia.deon.pl/otworz.php?skrot=Hi%2026 https://biblia.deon.pl/otworz.php?skrot=Hi%2027 https://biblia.deon.pl/otworz.php?skrot=Ps%2019 https://biblia.deon.pl/otworz.php?skrot=Mt%2018 https://biblia.deon.pl/otworz.php?skrot=Rz%2014 https://biblia.deon.pl/otworz.php?skrot=Rz%2015
20,Wj 18-23,Iz 39-40,Hi 28,Ps 20,,,29879,https://biblia.deon.pl/otworz.php?skrot=Wj%2018 https://biblia.deon.pl/otworz.php?skrot=Wj%2019 https://biblia.deon.pl/otworz.php?skrot=Wj%2020 https://biblia.deon.pl/otworz.php?skrot=Wj%2021 https://biblia.deon.pl/otworz.php?skrot=Wj%2022 https://biblia.deon.pl/otworz.php?skrot=Wj%2023 https://biblia.deon.pl/otworz.php?skrot=Iz%2039 https://biblia.deon.pl/otworz.php?skrot=Iz%2040 https://biblia.deon.pl/otworz.php?skrot=Hi%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%2020
21,Wj 24-27,Iz 41-42,Hi 29,Ps 21,Mt 19,Rz 16,29915,https://biblia.deon.pl/otworz.php?skrot=Wj%2024 https://biblia.deon.pl/otworz.php?skrot=Wj%2025 https://biblia.deon.pl/otworz.php?skrot=Wj%2026 https://biblia.deon.pl/otworz.php?skrot=Wj%2027 https://biblia.deon.pl/otworz.php?skrot=Iz%2041 https://biblia.deon.pl/otworz.php?skrot=Iz%2042 https://biblia.deon.pl/otworz.php?skrot=Hi%2029 https://biblia.deon.pl/otworz.php?skrot=Ps%2021 https://biblia.deon.pl/otworz.php?skrot=Mt%2019 https://biblia.deon.pl/otworz.php?skrot=Rz%2016
22,Wj 28-29,Iz 43-44,Hi 30,Ps 22,Mt 20,1 Kor 1,31400,https://biblia.deon.pl/otworz.php?skrot=Wj%2028 https://biblia.deon.pl/otworz.php?skrot=Wj%2029 https://biblia.deon.pl/otworz.php?skrot=Iz%2043 https://biblia.deon.pl/otworz.php?skrot=Iz%2044 https://biblia.deon.pl/otworz.php?skrot=Hi%2030 https://biblia.deon.pl/otworz.php?skrot=Ps%2022 https://biblia.deon.pl/otworz.php?skrot=Mt%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%201
23,Wj 30-33,Iz 45,Hi 31,Ps 23,Mt 21,1 Kor 2,28934,https://biblia.deon.pl/otworz.php?skrot=Wj%2030 https://biblia.deon.pl/otworz.php?skrot=Wj%2031 https://biblia.deon.pl/otworz.php?skrot=Wj%2032 https://biblia.deon.pl/otworz.php?skrot=Wj%2033 https://biblia.deon.pl/otworz.php?skrot=Iz%2045 https://biblia.deon.pl/otworz.php?skrot=Hi%2031 https://biblia.deon.pl/otworz.php?skrot=Ps%2023 https://biblia.deon.pl/otworz.php?skrot=Mt%2021 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%202
24,Wj 34-36,Iz 46-48,Hi 32,Ps 24,Mt 22,1 Kor 3,29500,https://biblia.deon.pl/otworz.php?skrot=Wj%2034 https://biblia.deon.pl/otworz.php?skrot=Wj%2035 https://biblia.deon.pl/otworz.php?skrot=Wj%2036 https://biblia.deon.pl/otworz.php?skrot=Iz%2046 https://biblia.deon.pl/otworz.php?skrot=Iz%2047 https://biblia.deon.pl/otworz.php?skrot=Iz%2048 https://biblia.deon.pl/otworz.php?skrot=Hi%2032 https://biblia.deon.pl/otworz.php?skrot=Ps%2024 https://biblia.deon.pl/otworz.php?skrot=Mt%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%203
25,Wj 37-39,Iz 49,Hi 33,Ps 25,Mt 23,1 Kor 4,27155,https://biblia.deon.pl/otworz.php?skrot=Wj%2037 https://biblia.deon.pl/otworz.php?skrot=Wj%2038 https://biblia.deon.pl/otworz.php?skrot=Wj%2039 https://biblia.deon.pl/otworz.php?skrot=Iz%2049 https://biblia.deon.pl/otworz.php?skrot=Hi%2033 https://biblia.deon.pl/otworz.php?skrot=Ps%2025 https://biblia.deon.pl/otworz.php?skrot=Mt%2023 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%204
26,Wj 40; Kpł 1-4,Iz 50-52,Hi 34,Ps 26,,1 Kor 5,27917,https://biblia.deon.pl/otworz.php?skrot=Wj%2040 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%201 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%202 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%203 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%204 https://biblia.deon.pl/otworz.php?skrot=Iz%2050 https://biblia.deon.pl/otworz.php?skrot=Iz%2051 https://biblia.deon.pl/otworz.php?skrot=Iz%2052 https://biblia.deon.pl/otworz.php?skrot=Hi%2034 https://biblia.deon.pl/otworz.php?skrot=Ps%2026 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%205
27,Kpł 5-7,Iz 53-54,Hi 35,Ps 27,Mt 24,1 Kor 6,27637,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%205 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%206 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%207 https://biblia.deon.pl/otworz.php?skrot=Iz%2053 https://biblia.deon.pl/otworz.php?skrot=Iz%2054 https://biblia.deon.pl/otworz.php?skrot=Hi%2035 https://biblia.deon.pl/otworz.php?skrot=Ps%2027 https://biblia.deon.pl/otworz.php?skrot=Mt%2024 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%206
28,Kpł 8-9,Iz 55-57,Hi 36,Ps 28,Mt 25,1 Kor 7,27674,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%208 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%209 https://biblia.deon.pl/otworz.php?skrot=Iz%2055 https://biblia.deon.pl/otworz.php?skrot=Iz%2056 https://biblia.deon.pl/otworz.php?skrot=Iz%2057 https://biblia.deon.pl/otworz.php?skrot=Hi%2036 https://biblia.deon.pl/otworz.php?skrot=Ps%2028 https://biblia.deon.pl/otworz.php?skrot=Mt%2025 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%207
29,Kpł 10-13,Iz 58-59,Hi 37,Ps 29,,1 Kor 8,28883,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2010 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2011 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2012 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2013 https://biblia.deon.pl/otworz.php?skrot=Iz%2058 https://biblia.deon.pl/otworz.php?skrot=Iz%2059 https://biblia.deon.pl/otworz.php?skrot=Hi%2037 https://biblia.deon.pl/otworz.php?skrot=Ps%2029 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%208
30,Kpł 14,Iz 60-61,Hi 38,Ps 30,Mt 26,1 Kor 9,27744,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2014 https://biblia.deon.pl/otworz.php?skrot=Iz%2060 https://biblia.deon.pl/otworz.php?skrot=Iz%2061 https://biblia.deon.pl/otworz.php?skrot=Hi%2038 https://biblia.deon.pl/otworz.php?skrot=Ps%2030 https://biblia.deon.pl/otworz.php?skrot=Mt%2026 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%209
31,Kpł 15-18,Iz 62-64,Hi 39,Ps 31,,,26623,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2015 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2016 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2017 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2018 https://biblia.deon.pl/otworz.php?skrot=Iz%2062 https://biblia.deon.pl/otworz.php?skrot=Iz%2063 https://biblia.deon.pl/otworz.php?skrot=Iz%2064 https://biblia.deon.pl/otworz.php?skrot=Hi%2039 https://biblia.deon.pl/otworz.php?skrot=Ps%2031
32,Kpł 19-21,Iz 65,Hi 40,Ps 32,Mt 27,1 Kor 10,29047,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2019 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2020 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2021 https://biblia.deon.pl/otworz.php?skrot=Iz%2065 https://biblia.deon.pl/otworz.php?skrot=Hi%2040 https://biblia.deon.pl/otworz.php?skrot=Ps%2032 https://biblia.deon.pl/otworz.php?skrot=Mt%2027 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2010
33,Kpł 22-24,Iz 66; Jr 1,Hi 41,Ps 33,Mt 28,1 Kor 11,28596,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2022 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2023 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2024 https://biblia.deon.pl/otworz.php?skrot=Iz%2066 https://biblia.deon.pl/otworz.php?skrot=Jr%201 https://biblia.deon.pl/otworz.php?skrot=Hi%2041 https://biblia.deon.pl/otworz.php?skrot=Ps%2033 https://biblia.deon.pl/otworz.php?skrot=Mt%2028 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2011
34,Kpł 25-26,Jr 2,Hi 42,Ps 34,Mk 1,,27061,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2025 https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2026 https://biblia.deon.pl/otworz.php?skrot=Jr%202 https://biblia.deon.pl/otworz.php?skrot=Hi%2042 https://biblia.deon.pl/otworz.php?skrot=Ps%2034 https://biblia.deon.pl/otworz.php?skrot=Mk%201
35,Kpł 27; Lb 1,Jr 3,Prz 1,Ps 35,Mk 2,1 Kor 12-13,27190,https://biblia.deon.pl/otworz.php?skrot=Kp%B3%2027 https://biblia.deon.pl/otworz.php?skrot=Lb%201 https://biblia.deon.pl/otworz.php?skrot=Jr%203 https://biblia.deon.pl/otworz.php?skrot=Prz%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2035 https://biblia.deon.pl/otworz.php?skrot=Mk%202 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2012 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2013
36,Lb 2-4,Jr 4,Prz 2,Ps 36,Mk 3,,25906,https://biblia.deon.pl/otworz.php?skrot=Lb%202 https://biblia.deon.pl/otworz.php?skrot=Lb%203 https://biblia.deon.pl/otworz.php?skrot=Lb%204 https://biblia.deon.pl/otworz.php?skrot=Jr%204 https://biblia.deon.pl/otworz.php?skrot=Prz%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2036 https://biblia.deon.pl/otworz.php?skrot=Mk%203
37,Lb 5-6,Jr 5,Prz 3,Ps 37,Mk 4,1 Kor 14,26746,https://biblia.deon.pl/otworz.php?skrot=Lb%205 https://biblia.deon.pl/otworz.php?skrot=Lb%206 https://biblia.deon.pl/otworz.php?skrot=Jr%205 https://biblia.deon.pl/otworz.php?skrot=Prz%203 https://biblia.deon.pl/otworz.php?skrot=Ps%2037 https://biblia.deon.pl/otworz.php?skrot=Mk%204 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2014
38,Lb 7-8,Jr 6,Prz 4,Ps 38,Mk 5,,24743,https://biblia.deon.pl/otworz.php?skrot=Lb%207 https://biblia.deon.pl/otworz.php?skrot=Lb%208 https://biblia.deon.pl/otworz.php?skrot=Jr%206 https://biblia.deon.pl/otworz.php?skrot=Prz%204 https://biblia.deon.pl/otworz.php?skrot=Ps%2038 https://biblia.deon.pl/otworz.php?skrot=Mk%205
39,Lb 9-11,Jr 7,Prz 5,Ps 39,,1 Kor 15,25775,https://biblia.deon.pl/otworz.php?skrot=Lb%209 https://biblia.deon.pl/otworz.php?skrot=Lb%2010 https://biblia.deon.pl/otworz.php?skrot=Lb%2011 https://biblia.deon.pl/otworz.php?skrot=Jr%207 https://biblia.deon.pl/otworz.php?skrot=Prz%205 https://biblia.deon.pl/otworz.php?skrot=Ps%2039 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2015
40,Lb 12-14,Jr 8,Prz 6,Ps 40,Mk 6,1 Kor 16,27016,https://biblia.deon.pl/otworz.php?skrot=Lb%2012 https://biblia.deon.pl/otworz.php?skrot=Lb%2013 https://biblia.deon.pl/otworz.php?skrot=Lb%2014 https://biblia.deon.pl/otworz.php?skrot=Jr%208 https://biblia.deon.pl/otworz.php?skrot=Prz%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2040 https://biblia.deon.pl/otworz.php?skrot=Mk%206 https://biblia.deon.pl/otworz.php?skrot=1%20Kor%2016
41,Lb 15-18,Jr 9,Prz 7,Ps 41,,2 Kor 1,27531,https://biblia.deon.pl/otworz.php?skrot=Lb%2015 https://biblia.deon.pl/otworz.php?skrot=Lb%2016 https://biblia.deon.pl/otworz.php?skrot=Lb%2017 https://biblia.deon.pl/otworz.php?skrot=Lb%2018 https://biblia.deon.pl/otworz.php?skrot=Jr%209 https://biblia.deon.pl/otworz.php?skrot=Prz%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2041 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%201
42,Lb 19-21,Jr 10-12,Prz 8,Ps 42,Mk 7,,28796,https://biblia.deon.pl/otworz.php?skrot=Lb%2019 https://biblia.deon.pl/otworz.php?skrot=Lb%2020 https://biblia.deon.pl/otworz.php?skrot=Lb%2021 https://biblia.deon.pl/otworz.php?skrot=Jr%2010 https://biblia.deon.pl/otworz.php?skrot=Jr%2011 https://biblia.deon.pl/otworz.php?skrot=Jr%2012 https://biblia.deon.pl/otworz.php?skrot=Prz%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2042 https://biblia.deon.pl/otworz.php?skrot=Mk%207
43,Lb 22-25,Jr 13,Prz 9,Ps 43,Mk 8,2 Kor 2-3,27798,https://biblia.deon.pl/otworz.php?skrot=Lb%2022 https://biblia.deon.pl/otworz.php?skrot=Lb%2023 https://biblia.deon.pl/otworz.php?skrot=Lb%2024 https://biblia.deon.pl/otworz.php?skrot=Lb%2025 https://biblia.deon.pl/otworz.php?skrot=Jr%2013 https://biblia.deon.pl/otworz.php?skrot=Prz%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2043 https://biblia.deon.pl/otworz.php?skrot=Mk%208 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%202 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%203
44,Lb 26-28,Jr 14,Prz 10,Ps 44,Mk 9,,26558,https://biblia.deon.pl/otworz.php?skrot=Lb%2026 https://biblia.deon.pl/otworz.php?skrot=Lb%2027 https://biblia.deon.pl/otworz.php?skrot=Lb%2028 https://biblia.deon.pl/otworz.php?skrot=Jr%2014 https://biblia.deon.pl/otworz.php?skrot=Prz%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%2044 https://biblia.deon.pl/otworz.php?skrot=Mk%209
45,Lb 29-31,Jr 15-16,Prz 11,Ps 45,,2 Kor 4-5,28580,https://biblia.deon.pl/otworz.php?skrot=Lb%2029 https://biblia.deon.pl/otworz.php?skrot=Lb%2030 https://biblia.deon.pl/otworz.php?skrot=Lb%2031 https://biblia.deon.pl/otworz.php?skrot=Jr%2015 https://biblia.deon.pl/otworz.php?skrot=Jr%2016 https://biblia.deon.pl/otworz.php?skrot=Prz%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%2045 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%204 https://biblia.deon.pl/otworz.php?skrot=2%20Kor%205
